leagueId,tier,number
000b7db0-0f55-11e8-b792-c81f66dd2a8f,BRONZE,100
00160490-1e75-11e8-a859-c81f66dd0e0d,PLATINUM,200
001e8e90-09c5-11e8-bc14-c81f66db01ef,SILVER,200
00277160-fae1-11e7-9fed-c81f66dd0e0d,BRONZE,200
003440d0-fb1c-11e7-97c5-c81f66dacb22,PLATINUM,199
003697f0-2915-11e8-a031-c81f66dacb22,SILVER,136
004aa1f0-fc6f-11e7-bf4b-c81f66dacb22,BRONZE,200
00549310-fdda-11e7-b792-c81f66dd2a8f,GOLD,200
00572690-fb26-11e7-b639-c81f66db01ef,PLATINUM,193
0059b8a0-079d-11e8-8457-c81f66dd2a8f,SILVER,203
005a9ef0-347f-11e8-a801-c81f66dd0e0d,GOLD,199
005b17a0-099f-11e8-ba96-c81f66db01ef,GOLD,200
005ef7f0-fae8-11e7-9473-c81f66dd2a8f,SILVER,200
0065f800-0297-11e8-b8c2-c81f66dd0e0d,SILVER,199
006d5180-0117-11e8-ba96-c81f66db01ef,SILVER,202
006e28e0-06ca-11e8-8457-c81f66dd2a8f,SILVER,201
006fdcc0-043c-11e8-8ae2-c81f66dacb22,SILVER,199
00746d90-0521-11e8-825d-c81f66dd0e0d,SILVER,199
00767bd0-feff-11e7-80ad-c81f66db01ef,GOLD,200
007b5c90-021a-11e8-9419-c81f66dacb22,SILVER,200
007bf9a0-fd08-11e7-825d-c81f66dd0e0d,SILVER,200
007d2b40-fbcd-11e7-b402-c81f66db01ef,SILVER,200
00801aa0-fb8f-11e7-97bd-c81f66dd0e0d,PLATINUM,198
0085e500-4001-11e8-a031-c81f66dacb22,SILVER,201
00863300-ff9e-11e7-ba96-c81f66db01ef,BRONZE,197
009cc4e0-fa93-11e7-bf4b-c81f66dacb22,SILVER,200
009f1370-fef4-11e7-9389-c81f66dd2a8f,SILVER,202
00a48f70-1cf5-11e8-988f-c81f66dd2a8f,SILVER,127
00ad5530-239c-11e8-8b69-c81f66db01ef,GOLD,200
00b07a50-fa9b-11e7-97c5-c81f66dacb22,SILVER,200
00b61c80-fc44-11e7-9fed-c81f66dd0e0d,SILVER,200
00b626a0-4fc1-11e8-8f62-c81f66dacb22,BRONZE,102
00c19070-fe00-11e7-bc14-c81f66db01ef,BRONZE,200
00c220c0-09f5-11e8-ba96-c81f66db01ef,BRONZE,101
00c6f650-6f0c-11e8-8e27-c81f66dacb22,SILVER,100
00c74770-47db-11e8-bc81-c81f66dd2a8f,SILVER,118
00cb05d0-0de4-11e8-825d-c81f66dd0e0d,SILVER,200
00d89320-24c9-11e8-abb7-c81f66dd0e0d,GOLD,200
00e01430-ffdd-11e7-9389-c81f66dd2a8f,PLATINUM,198
00e63230-0ab3-11e8-b5a5-c81f66dd0e0d,SILVER,200
00eb4590-5220-11e8-be05-c81f66dd2a8f,SILVER,108
00eb9770-0473-11e8-8457-c81f66dd2a8f,SILVER,200
00f39940-08fe-11e8-b5a5-c81f66dd0e0d,GOLD,200
00f438a0-fb20-11e7-bf4b-c81f66dacb22,SILVER,200
00f51930-fbb3-11e7-9fed-c81f66dd0e0d,GOLD,201
00fd1b70-26d4-11e8-853a-c81f66dd2a8f,GOLD,201
0103de70-3457-11e8-8b69-c81f66db01ef,SILVER,149
010f1ee0-015b-11e8-80ad-c81f66db01ef,SILVER,200
0110b7f0-001b-11e8-b5a5-c81f66dd0e0d,GOLD,201
01187900-fd0e-11e7-ba96-c81f66db01ef,BRONZE,195
011c4580-5fa6-11e8-9a44-c81f66dd2a8f,BRONZE,100
011fcde0-195b-11e8-988f-c81f66dd2a8f,PLATINUM,200
01289140-4e31-11e8-b4be-c81f66db01ef,GOLD,200
012a8760-1278-11e8-8457-c81f66dd2a8f,SILVER,199
012de4e0-fd52-11e7-988f-c81f66dd2a8f,BRONZE,200
01307ae0-fbbb-11e7-a5c8-c81f66db01ef,PLATINUM,199
013120e0-fe5d-11e7-ba96-c81f66db01ef,SILVER,200
013b8960-fd66-11e7-988f-c81f66dd2a8f,SILVER,199
013e7960-23e3-11e8-bc81-c81f66dd2a8f,SILVER,172
0140f500-3b8a-11e8-8e8e-c81f66dd0e0d,SILVER,138
014289d0-fe0c-11e7-8744-c81f66dd0e0d,BRONZE,198
014936e0-01f9-11e8-b792-c81f66dd2a8f,SILVER,201
014a3470-014d-11e8-972b-c81f66dacb22,GOLD,201
014c40f0-4651-11e8-8044-c81f66dacb22,BRONZE,100
014ca4e0-3694-11e8-abb7-c81f66dd0e0d,SILVER,177
014cb730-fc44-11e7-97c5-c81f66dacb22,BRONZE,200
0153a420-56dd-11e8-8102-c81f66dacb22,SILVER,139
0154ab80-3ac3-11e8-8b69-c81f66db01ef,GOLD,200
01659e50-5223-11e8-bbcf-c81f66dd0e0d,GOLD,111
0166fca0-fae9-11e7-b402-c81f66db01ef,SILVER,200
01694250-5d5c-11e8-9429-c81f66db01ef,GOLD,124
016d83b0-2c6a-11e8-853a-c81f66dd2a8f,DIAMOND,101
01755630-604f-11e8-b684-c81f66dacb22,GOLD,110
01758ce0-fb3c-11e7-bf4b-c81f66dacb22,SILVER,201
017a8270-fd4b-11e7-b8c2-c81f66dd0e0d,BRONZE,198
01873250-05bf-11e8-825d-c81f66dd0e0d,SILVER,200
018e2070-03ac-11e8-bbb6-c81f66dacb22,GOLD,200
018ff520-5c54-11e8-b844-c81f66dd2a8f,SILVER,113
01906a50-1587-11e8-bc14-c81f66db01ef,GOLD,200
019b4fa0-0066-11e8-8744-c81f66dd0e0d,SILVER,202
019ec3c0-5565-11e8-915a-c81f66dd0e0d,SILVER,122
01a0c1e0-4c99-11e8-802e-c81f66dacb22,GOLD,137
01a35fc0-fe12-11e7-972b-c81f66dacb22,GOLD,200
01ab52b0-069c-11e8-b5a5-c81f66dd0e0d,SILVER,201
01b341f0-3770-11e8-8044-c81f66dacb22,GOLD,200
01b73390-48c9-11e8-8044-c81f66dacb22,GOLD,128
01b958b0-5b9c-11e8-b68b-c81f66db01ef,SILVER,104
01bf5ea0-0425-11e8-b5a5-c81f66dd0e0d,SILVER,201
01c22af0-fed9-11e7-b8c2-c81f66dd0e0d,SILVER,200
01c610f0-fb07-11e7-a5c8-c81f66db01ef,SILVER,201
01c6c3a0-69e9-11e8-b156-c81f66dd0e0d,SILVER,100
01d1b140-24aa-11e8-8e8e-c81f66dd0e0d,GOLD,199
01d81990-3c06-11e8-8e8e-c81f66dd0e0d,GOLD,198
01d89e90-fe28-11e7-bc14-c81f66db01ef,BRONZE,195
01d9b680-08dd-11e8-80ad-c81f66db01ef,GOLD,199
01e13d40-fb0b-11e7-b2ce-c81f66dacb22,BRONZE,200
01f365b0-fd7c-11e7-8457-c81f66dd2a8f,BRONZE,190
01f623a0-68ce-11e8-b4d3-c81f66dacb22,SILVER,109
01f9ca70-0ac6-11e8-80ad-c81f66db01ef,GOLD,201
01ff1f60-376d-11e8-9007-c81f66db01ef,SILVER,200
02007610-fbb0-11e7-a5c8-c81f66db01ef,SILVER,201
02212fe0-0434-11e8-80ad-c81f66db01ef,BRONZE,198
02218380-3604-11e8-9312-c81f66dd2a8f,GOLD,199
02230ab0-fbdb-11e7-964f-c81f66dd0e0d,BRONZE,197
02238f00-0854-11e8-b8c2-c81f66dd0e0d,SILVER,199
0223b400-044c-11e8-8744-c81f66dd0e0d,SILVER,200
022628b0-fe30-11e7-8457-c81f66dd2a8f,SILVER,200
022e9a00-fcb8-11e7-9389-c81f66dd2a8f,SILVER,199
0235d0b0-3294-11e8-9007-c81f66db01ef,SILVER,134
0236e540-1881-11e8-b792-c81f66dd2a8f,PLATINUM,200
02392920-0870-11e8-bc14-c81f66db01ef,GOLD,202
023cbd20-11e8-11e8-80ad-c81f66db01ef,GOLD,201
0240ab80-ff62-11e7-9419-c81f66dacb22,SILVER,200
024c65c0-08ee-11e8-825d-c81f66dd0e0d,BRONZE,177
024c6bc0-fc77-11e7-97c5-c81f66dacb22,GOLD,200
024f1630-209a-11e8-853a-c81f66dd2a8f,GOLD,200
02508120-fbcc-11e7-9fed-c81f66dd0e0d,SILVER,199
02550c10-2eb0-11e8-a031-c81f66dacb22,SILVER,199
025668c0-0d8c-11e8-80ad-c81f66db01ef,SILVER,201
025fda30-06df-11e8-8744-c81f66dd0e0d,GOLD,203
02608530-fd15-11e7-ba96-c81f66db01ef,BRONZE,189
02633a00-0b1b-11e8-8ae2-c81f66dacb22,PLATINUM,200
0267b7f0-0b49-11e8-b792-c81f66dd2a8f,GOLD,201
0268cd30-0887-11e8-8ae2-c81f66dacb22,GOLD,201
0269ad00-0133-11e8-988f-c81f66dd2a8f,SILVER,200
0283d3a0-19bc-11e8-8ae2-c81f66dacb22,SILVER,200
0284e6f0-fde2-11e7-8457-c81f66dd2a8f,SILVER,200
02876660-0421-11e8-972b-c81f66dacb22,GOLD,200
028e0e10-fe37-11e7-972b-c81f66dacb22,SILVER,200
029b0b80-fc78-11e7-ba32-c81f66dacb22,BRONZE,198
029dd2a0-42ed-11e8-a801-c81f66dd0e0d,GOLD,199
02a547c0-0075-11e8-8ae2-c81f66dacb22,BRONZE,198
02a6dc90-6b6c-11e8-88c9-c81f66db01ef,SILVER,107
02aa8270-621e-11e8-a52b-c81f66dd0e0d,GOLD,112
02ace200-264a-11e8-8044-c81f66dacb22,SILVER,200
02b093a0-ffcb-11e7-972b-c81f66dacb22,BRONZE,198
02b6a6a0-4823-11e8-abb7-c81f66dd0e0d,PLATINUM,100
02c063b0-257e-11e8-9170-c81f66dd2a8f,SILVER,201
02c15100-3738-11e8-9007-c81f66db01ef,GOLD,122
02c958f0-0925-11e8-972b-c81f66dacb22,SILVER,201
02d92d40-fd39-11e7-ba96-c81f66db01ef,SILVER,199
02dd2ef0-083c-11e8-8ef8-c81f66db01ef,GOLD,202
02dd4280-0087-11e8-8ae2-c81f66dacb22,SILVER,202
02df1450-2bd6-11e8-a859-c81f66dd0e0d,BRONZE,170
02df7710-feb3-11e7-bc14-c81f66db01ef,SILVER,200
