leagueId,tier,number
000270a0-16e2-11e8-8d1d-f01fafdb579b,GOLD,202
00035b70-3fe9-11e8-9f05-f01fafdb5b89,GOLD,200
001219a0-faaa-11e7-9062-f01fafdb5b89,BRONZE,199
0013f680-30f1-11e8-9647-782bcb4d0dce,SILVER,200
0018eee0-fa93-11e7-b558-f01fafdb5b89,BRONZE,196
001cda30-1ea8-11e8-9f05-f01fafdb5b89,SILVER,202
001d1cf0-6815-11e8-9700-f01fafdb5b89,SILVER,109
0020c660-024f-11e8-967a-f01fafdb579b,SILVER,201
002e12e0-fc67-11e7-a134-782bcb4d0dce,SILVER,201
002fe370-0632-11e8-bde8-f01fafdb3b9f,SILVER,215
00363c20-5920-11e8-bd9f-782bcb4d0dce,SILVER,101
00372d10-08bc-11e8-af83-f01fafdb5b89,SILVER,200
003fb9b0-1ab1-11e8-b065-f01fafdb579b,SILVER,198
0041fd50-3731-11e8-90bd-f01fafdb5b89,SILVER,132
004ae400-4213-11e8-9f05-f01fafdb5b89,GOLD,202
004ed520-068a-11e8-bde8-f01fafdb3b9f,GOLD,200
0052cbc0-17ac-11e8-9537-f01fafdb5b89,GOLD,203
005fe080-5a5a-11e8-9700-f01fafdb5b89,GOLD,157
00658320-fec3-11e7-af83-f01fafdb5b89,SILVER,203
0069a410-1196-11e8-b493-782bcb4d0dce,SILVER,200
006df840-5ea2-11e8-baf4-f01fafdb579b,GOLD,110
00717cf0-fc45-11e7-98c9-f01fafdb579b,BRONZE,184
00725cf0-fc69-11e7-9062-f01fafdb5b89,SILVER,228
0072fb10-4719-11e8-b44e-782bcb4d0dce,PLATINUM,103
0078ed00-1ee1-11e8-90bd-f01fafdb5b89,PLATINUM,109
007e0390-fd57-11e7-b952-f01fafdb579b,SILVER,200
0087d750-fad5-11e7-b5a5-f01fafdb579b,SILVER,248
008fadd0-002b-11e8-ac8a-f01fafdb3b9f,SILVER,200
0093bc10-2865-11e8-a4cc-f01fafdb3b9f,BRONZE,100
009454d0-fb61-11e7-bd28-782bcb4d0dce,BRONZE,186
0097c660-ff76-11e7-8a4a-782bcb4d0dce,SILVER,200
00a9a0a0-fb58-11e7-bb16-f01fafdb579b,BRONZE,232
00b043d0-fbba-11e7-b558-f01fafdb5b89,SILVER,203
00b42ae0-034e-11e8-b493-782bcb4d0dce,BRONZE,178
00b684c0-4a2f-11e8-9647-782bcb4d0dce,DIAMOND,100
00b69a40-fc5b-11e7-82d3-f01fafdb5b89,SILVER,243
00cc8b60-6697-11e8-83d6-f01fafdb5b89,GOLD,122
00cfabd0-3035-11e8-a4cc-f01fafdb3b9f,SILVER,200
00cfdd60-fb44-11e7-8cdc-f01fafdb579b,GOLD,202
00d1b080-0cbb-11e8-a4e8-f01fafdb5b89,PLATINUM,199
00d8a2b0-0265-11e8-ac8a-f01fafdb3b9f,SILVER,200
00db5ed0-fda4-11e7-9537-f01fafdb5b89,GOLD,201
00eaa6e0-21dc-11e8-a4cc-f01fafdb3b9f,SILVER,200
00ec7220-1266-11e8-8a4a-782bcb4d0dce,GOLD,202
00ed6900-faab-11e7-b558-f01fafdb5b89,GOLD,241
00f64820-3b21-11e8-b70c-f01fafdb579b,SILVER,187
01000aa0-01d2-11e8-af83-f01fafdb5b89,SILVER,200
01016a90-fd3a-11e7-8a4a-782bcb4d0dce,SILVER,198
010a28f0-03e4-11e8-8d1d-f01fafdb579b,SILVER,206
010a4500-045d-11e8-ac8a-f01fafdb3b9f,SILVER,200
010a4510-fc46-11e7-82d3-f01fafdb5b89,DIAMOND,200
0114a740-fcf4-11e7-b753-782bcb4d0dce,BRONZE,201
01195a30-1f7a-11e8-ad6a-f01fafdb5b89,GOLD,200
01223ae0-234b-11e8-a7fe-f01fafdb3b9f,SILVER,200
0124fe90-211d-11e8-a4cc-f01fafdb3b9f,BRONZE,123
01291030-0c77-11e8-bde8-f01fafdb3b9f,SILVER,200
01299180-fbc5-11e7-9374-f01fafdb3b9f,SILVER,248
0133d6c0-fcee-11e7-ac8a-f01fafdb3b9f,BRONZE,196
0155a9f0-084f-11e8-af83-f01fafdb5b89,PLATINUM,198
015e0d50-1553-11e8-af83-f01fafdb5b89,SILVER,199
015e3140-5676-11e8-b489-f01fafdb3b9f,SILVER,108
0163d8c0-0112-11e8-8a4a-782bcb4d0dce,GOLD,214
01720880-1569-11e8-a984-f01fafdb3b9f,SILVER,200
01783de0-0993-11e8-b753-782bcb4d0dce,SILVER,197
017c7e70-faff-11e7-8b2e-782bcb4d0dce,SILVER,206
018532a0-fd10-11e7-b065-f01fafdb579b,BRONZE,196
0188ce90-10b8-11e8-82ad-782bcb4d0dce,GOLD,200
018c5080-fbfd-11e7-b1fd-f01fafdb3b9f,BRONZE,196
018ed890-6337-11e8-9700-f01fafdb5b89,SILVER,104
01a14880-0979-11e8-ac8a-f01fafdb3b9f,BRONZE,150
01a67ef0-1198-11e8-b753-782bcb4d0dce,SILVER,200
01a86a20-39ad-11e8-9647-782bcb4d0dce,GOLD,200
01ac9590-1ee2-11e8-b70c-f01fafdb579b,SILVER,201
01ae3ca0-4ddc-11e8-9cfe-f01fafdb3b9f,GOLD,149
01aec6d0-fc64-11e7-89fb-f01fafdb5b89,SILVER,239
01b1dfe0-64b6-11e8-9ca0-f01fafdb3b9f,GOLD,117
01b2b1d0-fd3d-11e7-b493-782bcb4d0dce,BRONZE,200
01b5d7b0-0333-11e8-89e9-f01fafdb5b89,SILVER,200
01b5e780-3814-11e8-98ed-f01fafdb3b9f,GOLD,161
01c28ac0-fd05-11e7-b493-782bcb4d0dce,SILVER,199
01c2e640-34e7-11e8-98ed-f01fafdb3b9f,SILVER,156
01c5d2c0-0c32-11e8-89e9-f01fafdb5b89,GOLD,201
01c62430-fc08-11e7-8cdc-f01fafdb579b,GOLD,215
01c72940-feb3-11e7-8a4a-782bcb4d0dce,BRONZE,193
01c81980-61a1-11e8-969d-f01fafdb3b9f,GOLD,124
01c93d30-fc23-11e7-9374-f01fafdb3b9f,GOLD,226
01ce5b20-ff35-11e7-8d1d-f01fafdb579b,SILVER,199
01cfdc10-fe14-11e7-b952-f01fafdb579b,SILVER,246
01d0cfa0-fb65-11e7-9374-f01fafdb3b9f,SILVER,248
01d80f00-016d-11e8-8d1d-f01fafdb579b,SILVER,200
01e2ed60-ff5d-11e7-967a-f01fafdb579b,SILVER,196
01e36f50-2b5f-11e8-b70c-f01fafdb579b,GOLD,201
01e507d0-1b0a-11e8-a4e8-f01fafdb5b89,PLATINUM,200
01e68490-0b4a-11e8-af83-f01fafdb5b89,DIAMOND,200
01e92390-1314-11e8-967a-f01fafdb579b,SILVER,204
01eb76f0-0120-11e8-9537-f01fafdb5b89,SILVER,200
01f9eb50-011f-11e8-a4e8-f01fafdb5b89,SILVER,200
02013850-fef0-11e7-9537-f01fafdb5b89,SILVER,199
020398e0-335f-11e8-9807-782bcb4d0dce,SILVER,162
020535f0-1236-11e8-ac8a-f01fafdb3b9f,BRONZE,100
02081030-3b77-11e8-8a5b-f01fafdb579b,SILVER,195
020c4030-0885-11e8-b065-f01fafdb579b,SILVER,199
021315c0-3f32-11e8-9121-782bcb4d0dce,GOLD,201
0223ce30-fe71-11e7-8d1d-f01fafdb579b,SILVER,245
0231eb40-feae-11e7-b493-782bcb4d0dce,SILVER,211
023d6b80-4550-11e8-8178-f01fafdb579b,SILVER,173
0248a760-0d2f-11e8-a984-f01fafdb3b9f,BRONZE,121
0249d610-08e0-11e8-8a4a-782bcb4d0dce,BRONZE,165
025d9d80-4c7e-11e8-a7fe-f01fafdb3b9f,SILVER,106
026008d0-facc-11e7-9062-f01fafdb5b89,GOLD,244
026b7240-0a69-11e8-a984-f01fafdb3b9f,SILVER,200
026bd630-faac-11e7-82d3-f01fafdb5b89,BRONZE,189
026f3bb0-fd98-11e7-b952-f01fafdb579b,SILVER,243
027486b0-55db-11e8-b489-f01fafdb3b9f,PLATINUM,112
02756e80-fb2d-11e7-bc5a-782bcb4d0dce,SILVER,250
027633a0-4b83-11e8-a4cc-f01fafdb3b9f,PLATINUM,168
027f6e70-fe3f-11e7-82ad-782bcb4d0dce,SILVER,201
027fd230-2413-11e8-a7fe-f01fafdb3b9f,SILVER,200
028241d0-01a6-11e8-bde8-f01fafdb3b9f,SILVER,207
02883010-1c93-11e8-b952-f01fafdb579b,GOLD,199
028b8af0-2ee8-11e8-a7fe-f01fafdb3b9f,GOLD,180
028c9130-2f3c-11e8-90bd-f01fafdb5b89,SILVER,200
0291dac0-3502-11e8-98ed-f01fafdb3b9f,SILVER,148
02922250-0190-11e8-9537-f01fafdb5b89,BRONZE,199
0293c4e0-0d55-11e8-bde8-f01fafdb3b9f,GOLD,202
02969f00-4935-11e8-9807-782bcb4d0dce,GOLD,137
02a061a0-fad6-11e7-b558-f01fafdb5b89,GOLD,200
02a1db90-08a8-11e8-b493-782bcb4d0dce,PLATINUM,200
02b1da50-fce5-11e7-89e9-f01fafdb5b89,BRONZE,198
02b2d870-60c1-11e8-8e62-f01fafdb5b89,GOLD,139
02b4acf0-2457-11e8-b70c-f01fafdb579b,SILVER,199
02b5dcf0-0d83-11e8-9537-f01fafdb5b89,SILVER,200
02bbcf20-3a1f-11e8-9f05-f01fafdb5b89,SILVER,200
02bf5fe0-074e-11e8-b493-782bcb4d0dce,SILVER,201
02bf9250-6656-11e8-bd9f-782bcb4d0dce,DIAMOND,101
02c83510-0312-11e8-967a-f01fafdb579b,BRONZE,151
02d63cc0-017b-11e8-af83-f01fafdb5b89,SILVER,202
02d95870-13ef-11e8-b952-f01fafdb579b,SILVER,200
02d9c250-469f-11e8-9807-782bcb4d0dce,SILVER,118
02dd53d0-fbf8-11e7-bc5a-782bcb4d0dce,SILVER,249
02dd6150-261d-11e8-8178-f01fafdb579b,GOLD,200
02df6ff0-6bf4-11e8-9700-f01fafdb5b89,SILVER,101
02ea7220-068b-11e8-a984-f01fafdb3b9f,SILVER,200
02ef3930-fd2c-11e7-8f64-f01fafdb3b9f,BRONZE,186
02f7e8d0-08be-11e8-bde8-f01fafdb3b9f,BRONZE,200
0309d6a0-043e-11e8-af83-f01fafdb5b89,BRONZE,194
030a6aa0-116a-11e8-b952-f01fafdb579b,GOLD,201
030ffac0-0fbb-11e8-a984-f01fafdb3b9f,SILVER,202
0315a890-fd0e-11e7-a4e8-f01fafdb5b89,SILVER,202
