leagueId,tier,number
000115d0-45ad-11e8-a09c-c81f66dbb56c,GOLD,186
000707c0-35df-11e8-a82d-c81f66cf2333,GOLD,203
0010adb0-04a8-11e8-9e8c-c81f66cf135e,SILVER,200
001d96c0-4566-11e8-838a-c81f66cf135e,SILVER,121
001eef10-0467-11e8-a61f-c81f66cf2333,DIAMOND,200
0023b2e0-fe39-11e7-b4cc-c81f66cf2333,BRONZE,200
002c9480-3608-11e8-838a-c81f66cf135e,SILVER,200
00354d20-265c-11e8-977f-c81f66dbb56c,SILVER,152
00377080-fe0e-11e7-b4cc-c81f66cf2333,GOLD,201
003a8080-1214-11e8-b4cc-c81f66cf2333,GOLD,200
003db780-fd5d-11e7-b4cc-c81f66cf2333,BRONZE,194
00422460-5bd0-11e8-945e-c81f66dbb56c,SILVER,143
0045d140-01a4-11e8-a61f-c81f66cf2333,BRONZE,200
00513910-008a-11e8-9e8c-c81f66cf135e,SILVER,199
006a8c80-4df1-11e8-9823-c81f66cf2333,GOLD,200
006ab390-4df1-11e8-9823-c81f66cf2333,GOLD,122
006ef950-4df1-11e8-9823-c81f66cf2333,GOLD,151
0070e7e0-0ac3-11e8-a89d-c81f66cf135e,SILVER,200
007a3720-fba3-11e7-8a52-c81f66cf135e,GOLD,198
00854410-12e3-11e8-8a89-c81f66dbb56c,SILVER,200
00864030-104b-11e8-a61f-c81f66cf2333,GOLD,201
00a0f470-5344-11e8-9823-c81f66cf2333,GOLD,143
00a22950-4785-11e8-959b-c81f66cf135e,SILVER,108
00a81110-4435-11e8-977f-c81f66dbb56c,SILVER,116
00ae06a0-fe3b-11e7-9e8c-c81f66cf135e,SILVER,199
00b46b40-fbf6-11e7-979b-c81f66dbb56c,SILVER,200
00bac110-0e03-11e8-b4cc-c81f66cf2333,SILVER,200
00be8ee0-03c1-11e8-9e8c-c81f66cf135e,SILVER,201
00c51260-fccd-11e7-9e61-c81f66cf2333,SILVER,200
00d55980-39eb-11e8-bb6c-c81f66cf2333,SILVER,174
00d85100-06f9-11e8-9727-c81f66cf135e,GOLD,200
00dbbbb0-690a-11e8-a566-c81f66dbb56c,SILVER,102
00e2ee90-0568-11e8-919f-c81f66cf2333,GOLD,202
00e7c950-ff01-11e7-a367-c81f66dbb56c,SILVER,200
00f04640-019d-11e8-979b-c81f66dbb56c,SILVER,199
00f3cbc0-00b8-11e8-a89d-c81f66cf135e,BRONZE,127
01032ac0-04fa-11e8-a89d-c81f66cf135e,SILVER,200
0103dd60-0934-11e8-9e61-c81f66cf2333,BRONZE,199
0109f020-fcb8-11e7-9e61-c81f66cf2333,SILVER,200
01158590-1435-11e8-9e8c-c81f66cf135e,SILVER,200
011ab3a0-5489-11e8-9564-c81f66dbb56c,GOLD,146
011bb430-032b-11e8-bc10-c81f66cf135e,GOLD,200
011fc040-fcf3-11e7-b4cc-c81f66cf2333,BRONZE,187
0125b7a0-493a-11e8-b378-c81f66dbb56c,DIAMOND,101
0126a7e0-3216-11e8-a09c-c81f66dbb56c,BRONZE,100
0131e130-fc0d-11e7-9727-c81f66cf135e,SILVER,201
013e96d0-493a-11e8-b378-c81f66dbb56c,PLATINUM,101
013f3310-493a-11e8-b378-c81f66dbb56c,PLATINUM,100
01559980-0497-11e8-a61f-c81f66cf2333,BRONZE,102
01570620-00d3-11e8-979b-c81f66dbb56c,SILVER,200
01619ae0-fae8-11e7-a86f-c81f66cf135e,SILVER,204
0161d640-493a-11e8-b378-c81f66dbb56c,GOLD,200
0167a0d0-fb55-11e7-9e65-c81f66cf2333,GOLD,201
016d6180-3c61-11e8-b378-c81f66dbb56c,SILVER,127
016e0090-03f4-11e8-9e8c-c81f66cf135e,GOLD,202
0177aaf0-4265-11e8-a09c-c81f66dbb56c,SILVER,107
0178dde0-fb60-11e7-936d-c81f66cf2333,SILVER,200
017e9440-1c0f-11e8-9727-c81f66cf135e,SILVER,200
017ed220-fb30-11e7-8f00-c81f66cf2333,SILVER,203
018b4ce0-1137-11e8-919f-c81f66cf2333,SILVER,175
01b48500-fcd9-11e7-a367-c81f66dbb56c,PLATINUM,191
01c7bac0-fe8d-11e7-b4cc-c81f66cf2333,DIAMOND,199
